,,Difficulty,,Master Fundamentals,10 Master Fund,5 Minute Master Fundamentals,Dodging,10 Dodging,5 Dodging,Conditioning,10 Min Conditioning,5 Min Conditioning,Faking and Inside Finishing,10 Min Faking,5 Minute Faking,Shooting,10 Shooting,5 Shooting,Defensive Emphasis,10 Defense,5 Defense,Catch Everything,10 Catch Everything,5 Catch Everything,Advanced - Fun and Challenging,10 Catch Everything,5 Catch Everything,Coaching,,No Coaching,,Coaching,No Coaching
,Wall Ball Exercise,,X,,,,,,,,,,,,,,,,,,,,,,,,,Strong Hand,Off Hand,Strong Hand,Off Hand,Alternating,
,,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,,,,,,
1,Overhand,1,X,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,,,,,https://vimeo.com/997153686,https://vimeo.com/997151828,https://vimeo.com/997152524,https://vimeo.com/997152466,,
2,Quick Sticks ,1,X,2,2,2,,,,2,2,,2,2,,2,2,,,,,2,2,1,1,1,,https://vimeo.com/997153630,https://vimeo.com/997153513,https://vimeo.com/997153513,https://vimeo.com/997153457,,
3,Turned Right,1,X,9,,3,,,,,,,,,,,,,4,4,,4,4,3,,,,https://vimeo.com/997154308,https://vimeo.com/997154231,https://vimeo.com/997154272,https://vimeo.com/997154194,,
4,Turned Left,1,X,8,,4,,,,,,,,,,,,,3,3,,3,3,2,,,,https://vimeo.com/997154080,https://vimeo.com/997154167,https://vimeo.com/997154051,https://vimeo.com/997154124,,
5,Catch and Switch,1,X,10,6,5,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
26,Twister,2,X,,,,,,,,,,6,4,1,17,10,,,,,,,,7,4,,https://vimeo.com/997154514,https://vimeo.com/997154428,https://vimeo.com/997154472,https://vimeo.com/997154374,,
28,Near Side Fake,1,X,3,3,,,,,,,,9,6,2,,,,,,,,,,,,,https://vimeo.com/997151692,,https://vimeo.com/997151554,https://vimeo.com/997151425,,
30,Far Side Fake,1,X,4,4,,,,,,,,11,7,3,,,,,,,,,,,,,,,,,,
13,Behind The Back,2,X,15,,,,,,,,,13,8,4,,,,,,,,,,5,2,,,,,,,
33,Leaner,2,X,,,,,,,,,,15,10,5,18,,,,,,,,,10,7,2,,,,,,
34,Matt Brown Shooting,1,X,,,,,,,,,,,,,3,3,2,9,,,,,,,,,https://vimeo.com/997151121,https://vimeo.com/997151008,https://vimeo.com/997151065,https://vimeo.com/997150953,,
35,80 % Over Hand,2,X,,,,,,,,,,,,,9,5,3,,,,10,,,,,,,,,,,
37,Short Shot on the Run,2,X,,,,12,,,,,,,,,11,7,4,,,,,,,,,,,,,,https://vimeo.com/997150867,https://vimeo.com/997150743
38,Up The Hash,2,X,,,,13,,,,,,,,,12,8,5,,,,,,,,,,https://vimeo.com/997154935,https://vimeo.com/997154854,https://vimeo.com/997154898,https://vimeo.com/997154810,,
27,Criss Cross Quick Sticks,3,X,,,,,,,,,,8,,,,,,,,,6,6,,9,6,1,,,,,,
40,Shovel Pass to Over The Shoulder,2,X,,,,,,,,,,,,,,,,12,10,,7,7,,11,8,3,https://vimeo.com/997151416,https://vimeo.com/997151230,https://vimeo.com/997151289,https://vimeo.com/997151163,,
42,Short Hop,2,X,,,,,,,,,,,,,,,,17,,,13,10,,13,9,4,https://vimeo.com/997150674,https://vimeo.com/997150561,https://vimeo.com/997150617,,,
43,Side Arm to One Handed Extended Catch,2,X,,,,,,,,,,,,,,,,,,,14,,,14,10,5,https://vimeo.com/997152331,https://vimeo.com/997152086,https://vimeo.com/997152395,https://vimeo.com/997152184,,
,3 Step Up and Backs,2,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,80 % Side Arm,2,X,,,,,,,,,,,,,10,6,,,,,11,,,,,,,,,,,
41,Ankle Biters,2,X,,,,,,,,,,,,,,,,16,,,12,9,,12,,,,,,,,
,Around The World,,,,,,,,,,,,14,9,,,,,,,,,,,6,3,,,,,,,
,Around The World,2,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bottom Hand Only,1,X,6,,,,,,4,,,,,,5,,,,,,,,,3,,,,,,,,
25,Canadian Cross Hand,1,X,,,,,,,,,,3,,,6,,,,,,,,,4,,,,,,,,
