ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,"Drill Types",_drill_category,_drill_duration,_drill_video_url,_drill_notes,_mepr_unauthorized_message_type,_mepr_unauthorized_message,_mepr_unauth_login,_mepr_unauth_excerpt_type,_mepr_unauth_excerpt_size,_learndash_course_grid_short_description,_powlax_drill,_learndash_course_grid_duration,_learndash_course_grid_enable_video_preview,_learndash_course_grid_video_embed_code,_learndash_course_grid_custom_button_text,_learndash_course_grid_custom_ribbon_text,_drill_lab_url_new,_drill_lab_embed,_drill_custom_url,_drill_images,_elementor_page_assets,_drill_lab_url,_drill_game_states,_drill_lab_url_1,_drill_lab_url_2,_drill_lab_url_3,_drill_lab_url_4,_drill_lab_embeds,_drill_lab_url_5,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
45926,"2 Ball Reaction Drill",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/2-ball-reaction-drill/,,,,,,,,,"Skill Drills",10,https://youtu.be/Wzej5agpFGA?si=CbSLmGUPePt0mStd,,default,,default,default,100,,"a:2:{i:0;s:0:"""";s:37:""powlax_drill_course_short_description"";s:0:"""";}",,0,,,,https://lacrosse.labradorsports.com/play?l=fKh8RD1UDh0NlgpEWt17,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=fKh8RD1UDh0NlgpEWt17"" style=""max-width: 100%""></iframe>",,a:0:{},a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,2-ball-reaction-drill,,,0,0,0,closed,closed,"2025-07-26 08:52:46"
45927,"3 Man Passing",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/3-man-passing/,,,,,,,,,"Skill Drills",15,https://vimeo.com/1078452011,,default,,default,default,100,,"a:2:{i:0;s:0:"""";s:37:""powlax_drill_course_short_description"";s:0:"""";}",,0,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=7ONyvP4dQhW2ZFbH84NH"" style=""max-width: 100%""></iframe>",https://powlax.com/master-classes/44697/,a:0:{},a:0:{},https://lacrosse.labradorsports.com/playbook?t=YdDKMHFFxnQZpnyPUzjh&p=yehFLU1E0rpxYrafjDCa&sp=team&f=C5y3nfl5QaTG9e8ZN06S&cpg=1&__hstc=114890522.4fb9b67d7c83d6a7330cccb18582385e.1745420270582.1745420270582.1750823906676.2&__hssc=114890522.1.1750823906676&__hsfp=1217993264,"a:1:{i:0;s:11:""pp-clearing"";}",https://lacrosse.labradorsports.com/play?l=7ONyvP4dQhW2ZFbH84NH,https://lacrosse.labradorsports.com/play?l=nS3VlAB3YvbBfjWNAnnI,https://lacrosse.labradorsports.com/play?l=71MnOpOCQxpKPutFEN2j,https://lacrosse.labradorsports.com/play?l=z1ms0ar0mo6JmygHQJat,"a:4:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=7ONyvP4dQhW2ZFbH84NH"" style=""max-width: 100%""></iframe>"";i:1;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=nS3VlAB3YvbBfjWNAnnI"" style=""max-width: 100%""></iframe>"";i:2;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=71MnOpOCQxpKPutFEN2j"" style=""max-width: 100%""></iframe>"";i:3;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=z1ms0ar0mo6JmygHQJat"" style=""max-width: 100%""></iframe>"";}",,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,3-man-passing,,,0,0,0,closed,closed,"2025-07-30 09:10:51"
45928,"5 on a Die Drill",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/5-on-a-die-drill/,,,,,,,,,"Concept Drills",12,https://vimeo.com/1078459413,,default,,default,default,100,,"a:2:{i:0;s:0:"""";s:37:""powlax_drill_course_short_description"";s:0:"""";}",,0,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=Poo0lq5Y9ZjCVTcDhnmA"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:1:{i:0;s:18:""pp-settled-defense"";}",https://lacrosse.labradorsports.com/play?l=Poo0lq5Y9ZjCVTcDhnmA,https://lacrosse.labradorsports.com/play?l=xXEhHR1lJdOdIqAeld3H,https://lacrosse.labradorsports.com/play?l=XfD3cZ0aW0Q0S1tCSIQm,https://lacrosse.labradorsports.com/play?l=dlERYYoXuVTZtZlMyF57,"a:4:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=Poo0lq5Y9ZjCVTcDhnmA"" style=""max-width: 100%""></iframe>"";i:1;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=xXEhHR1lJdOdIqAeld3H"" style=""max-width: 100%""></iframe>"";i:2;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=XfD3cZ0aW0Q0S1tCSIQm"" style=""max-width: 100%""></iframe>"";i:3;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=dlERYYoXuVTZtZlMyF57"" style=""max-width: 100%""></iframe>"";}",,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,5-on-a-die-drill,,,0,0,0,closed,closed,"2025-07-30 09:10:51"
45929,"Bling Bling Shooting Drill",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/bling-bling-shooting-drill/,,,,,,,,,"Skill Development",15,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,bling-bling-shooting-drill,,,0,0,0,closed,closed,"2025-06-23 03:47:27"
45930,"Butt to Butt Ground Balls",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/butt-to-butt-ground-balls/,,,,,,,,,"Skill Development",8,https://vimeo.com/1078452882,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,butt-to-butt-ground-balls,,,0,0,0,closed,closed,"2025-07-30 09:10:52"
45931,"Water Break",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/water-break/,,,,,,,,,Admin,3,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,water-break,,,0,0,0,closed,closed,"2025-06-23 03:47:27"
45932,"Assign Teams",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/assign-teams/,,,,,,,,,Admin,5,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,assign-teams,,,0,0,0,closed,closed,"2025-06-23 03:47:27"
45933,"Other Admin",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/other-admin/,,,,,,,,,Admin,5,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,other-admin,,,0,0,0,closed,closed,"2025-06-23 03:47:27"
45934,"Team Meeting",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/team-meeting/,,,,,,,,,Admin,5,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,team-meeting,,,0,0,0,closed,closed,"2025-06-23 03:47:27"
45935,"Chalk Talk",,,"2025-06-23 03:47:27",powlax_drill,https://powlax.com/powlax_drill/chalk-talk/,,,,,,,,,Admin,5,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,chalk-talk,,,0,0,0,closed,closed,"2025-06-23 03:47:27"
