ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,_gamipress_plural_name,_gamipress_notifications_by_type_disable_achievements,_gamipress_notifications_by_type_title_size,_gamipress_notifications_by_type_heading_size,_gamipress_notifications_by_type_earners_limit,_gamipress_notifications_by_type_layout,_gamipress_notifications_by_type_align,_gamipress_notifications_by_type_disable_steps,_wp_old_slug,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
25186,"Lacrosse Achievement Emblem",,,"2024-10-02 04:38:42",achievement-type,https://powlax.com/?post_type=achievement-type&p=25186,,,,,,,,"Lacrosse Achievement Emblems",,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,lacrosse-achievement-emblem,,,0,0,0,closed,closed,"2024-10-02 04:38:42"
25706,"Completed Workout",,,"2024-10-03 03:51:33",achievement-type,https://powlax.com/?post_type=achievement-type&p=25706,,,,,,,,"Completed Workouts",on,h2,h4,0,left,none,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,completed-workouts,,,0,0,0,closed,closed,"2024-10-10 05:02:29"
25711,"Attack Badge",,,"2024-10-03 04:49:48",achievement-type,https://powlax.com/?post_type=achievement-type&p=25711,,,,,,,,"Attack Badges",,h2,h4,0,left,none,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,attack-class,,,0,0,0,closed,closed,"2024-12-16 03:11:27"
25712,"Defense Badge",,,"2024-10-03 04:50:05",achievement-type,https://powlax.com/?post_type=achievement-type&p=25712,,,,,,,,"Defense Badges",,h2,h4,0,left,none,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,defense-class,,,0,0,0,closed,closed,"2024-12-16 03:11:40"
25713,"Midfield Badge",,,"2024-10-03 04:50:29",achievement-type,https://powlax.com/?post_type=achievement-type&p=25713,,,,,,,,"Midfield Badges",,h2,h4,0,left,none,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,midfield-class,,,0,0,0,closed,closed,"2024-12-16 03:12:02"
25714,"Wall Ball Badge",,,"2024-10-03 04:52:17",achievement-type,https://powlax.com/?post_type=achievement-type&p=25714,,,,,,,,"Wall Ball Badges",on,h2,h4,0,left,none,on,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,wall-ball-class,,,0,0,0,closed,closed,"2024-12-16 03:12:18"
26440,"Lacrosse Utility Award",,,"2024-10-05 17:43:40",achievement-type,https://powlax.com/?post_type=achievement-type&p=26440,,,,,,,,"Lacrosse Utility Awards",,h2,h4,0,left,none,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,lacrosse-utility-award,,,0,0,0,closed,closed,"2024-10-05 17:43:40"
26598,"Lacrosse IQ Badge",,,"2024-10-07 18:16:40",achievement-type,https://powlax.com/?post_type=achievement-type&p=26598,,,,,,,,"Lacrosse IQ Badges",,h2,h4,0,left,none,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,lacrosse-iq-award,,,0,0,0,closed,closed,"2024-12-16 03:08:35"
29287,"Giveaway Achievement",,,"2024-10-28 18:17:24",achievement-type,https://powlax.com/?post_type=achievement-type&p=29287,,,,,,,,"Giveaway Achievements",on,h2,h4,0,left,none,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,giveaway-achievement,,,0,0,0,closed,closed,"2024-10-28 18:17:24"
34977,"Solid Start Badge",,,"2025-01-21 06:37:09",achievement-type,https://powlax.com/?post_type=achievement-type&p=34977,,,,,,,,"Solid Start Badges",,h2,h4,0,left,none,,strong-start-badges,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,solid-start-badges,,,0,0,0,closed,closed,"2025-01-22 04:16:07"
