name,drill_game_states,drill_category,Vimeo URL,tags,Lacrosse Lab URL 1,Lacrosse Lab URL 2,Lacrosse Lab URL 3,Lacrosse Lab URL 4,Lacrosse Lab URL 5
Line Drills 1,"pp-settled-offense,pp-offensive-transition,pp-clearing",Skill Drills,https://vimeo.com/184030071,Beginner - Stick-Work - Whole Unit (8+),https://lacrosse.labradorsports.com/play?l=77Ih59WK2IGaxbRuNV1E,https://lacrosse.labradorsports.com/play?l=hylFppQsFXnpFtXx1Khh,https://lacrosse.labradorsports.com/play?l=1WL945VormCYxhSdHqMb,https://lacrosse.labradorsports.com/play?l=C1ky2XnDNPsuzS5UiYBU,https://lacrosse.labradorsports.com/play?l=ulljZQMXH8IAcdKeQ5e1
Line Drills 2,"pp-settled-offense,pp-offensive-transition,pp-clearing",Skill Drills,https://vimeo.com/184030071,Beginner - Stick-Work - Whole Unit (8+),https://lacrosse.labradorsports.com/play?l=GMzWBH3dfsrNtfeebNAz,https://lacrosse.labradorsports.com/play?l=Vj0UET61vCBNphvvDBkz,,,
Throw Back Line Drills 1,"pp-settled-offense,pp-offensive-transition,pp-clearing",Skill Drills,https://vimeo.com/182763087,Small Group (2-8) - Whole Unit (8+) - Stick-Work - Beginner - Intermediate,https://lacrosse.labradorsports.com/play?l=AgG9TtWJTBXpPP5hnfFh,https://lacrosse.labradorsports.com/play?l=XLRBxpjFmoiGbSkcTcDW,https://lacrosse.labradorsports.com/play?l=7ClZYJoIzOPd5V7M5cSK,https://lacrosse.labradorsports.com/play?l=Tl3Ye53uEpSgiyxIlRBg,https://lacrosse.labradorsports.com/play?l=74CZFMfs5DjEs7V89Jmt
Throw Back Line Drills 2,"pp-settled-offense,pp-offensive-transition,pp-clearing",Skill Drills,https://vimeo.com/182763087,Small Group (2-8) - Whole Unit (8+) - Stick-Work - Beginner - Intermediate,https://lacrosse.labradorsports.com/play?l=oforXC2BGBxd3RE3P3xr,,,,
4 Corner Shooting 1,"pp-settled-offense,pp-offensive-transition",Skill Drills,,Offense - Beginner - Intermediate - Advanced - Stick-Work - Whole Unit (8+),https://lacrosse.labradorsports.com/play?l=g5bDYxTUkUaN9bq31i32,https://lacrosse.labradorsports.com/play?l=Dm4SvkVmISBoMhe88pz5,https://lacrosse.labradorsports.com/play?l=BLGDnvhhe0XG82OAdx7L,https://lacrosse.labradorsports.com/play?l=2HDQ8DXkyClfU5Ity14E,https://lacrosse.labradorsports.com/play?l=wnEdYK5AKc4KpnE7J68O
4 Corner Shooting 2,"pp-settled-offense,pp-offensive-transition",Skill Drills,,Offense - Beginner - Intermediate - Advanced - Stick-Work - Whole Unit (8+),https://lacrosse.labradorsports.com/play?l=W2sr4EEtagxhOLSjcfyk,,,,
Skeleton Shooting 1,pp-settled-offense,Concept Drills ,https://vimeo.com/1092030908,Beginner - Small Group (2-8),https://lacrosse.labradorsports.com/play?l=j8DRDJ9g9qGGkSKdWSPH,https://lacrosse.labradorsports.com/play?l=cTIO1cQ8cVxuv9NN8c6D,https://lacrosse.labradorsports.com/play?l=DEJJzQo7P0WALAiFSwBW,https://lacrosse.labradorsports.com/play?l=0Zm83YidifXdKcGdA1Ew,https://lacrosse.labradorsports.com/play?l=0Zm83YidifXdKcGdA1Ew
Skeleton Shooting 2,pp-settled-offense,Concept Drills ,https://vimeo.com/1092030908,Beginner - Small Group (2-8),https://lacrosse.labradorsports.com/play?l=9KNTAEfel51D93zFoPyI,https://lacrosse.labradorsports.com/play?l=7ANrXqfC8MM80iAzVW0W,https://lacrosse.labradorsports.com/play?l=tGmus99Usmxkm7E7iBZY,https://lacrosse.labradorsports.com/play?l=6bhcdoTCGDrsgeJudcFc,https://lacrosse.labradorsports.com/play?l=QmCu7bTnFEwW7VFMSDvC
Skeleton Shooting 3,pp-settled-offense,Concept Drills ,https://vimeo.com/1092030908,Beginner - Small Group (2-8),https://lacrosse.labradorsports.com/play?l=neSD2bussVfcpbGtsXxb,https://lacrosse.labradorsports.com/play?l=KnDO1sM34iisDCL7BU5H,,,
"""4 Corner Swing, Pick, and Shoot""","pp-settled-offense,pp-offensive-transition",Skill Drills,,Offense - Beginner - Intermediate - Advanced - Stick-Work - Whole Unit (8+),https://lacrosse.labradorsports.com/play?l=0A0P9bbzJtMK475XfFmU,,,,
