ID,Title,Content,Positions,"Academy Single Drills","Academy Drill Equipment","Players See & Do The Skills","Coach the Skills","Players Own the Skills","Space Needed",Complexity,"Sets and Reps","Drill Length in Minutes","Quiz / Workout Categories","Quiz / Workout Tags"
4068,"Holding The Stick Quiz",,,,,,,,,,,,"Lax IQ 5",
5272,"Virginia's 2-2-2 from X Quiz","<!-- wp:paragraph -->
<p><strong>Upon completing the quiz with a 80% score, you will receive a POWLAX Certificate of Completion</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 15","Settled Offense"
5386,"Cuse Motion Offense Quiz","<!-- wp:paragraph -->
<p>Upon completion of this quiz, you will receive the Cuse Motion Offense POWLAX Course Certificate</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>After completing the quiz, you must print or save the certificate!  If you leave the quiz without saving or printing, you will have to complete the quiz again.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Offense Quiz","Settled Offense"
5439,"Twist Man Up Quiz","<!-- wp:paragraph -->
<p>Take this quiz to show your knowledge of the Twist Man Up Play execution and strategy.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Man Up Quiz","Man Up"
5734,"Ohio State Pairs Quiz","<!-- wp:paragraph -->
<p><strong>Upon completing this quiz with a 80% score, you will receive a POWLAX Certificate of Completion for the Ohio State Pairs Offense.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Offense Quiz","Settled Offense"
6040,"Defending 2 Man Games Quiz","<!-- wp:paragraph -->
<p>Answer 80% of these questions correctly and receive the “Defending 2 Man Games” Certificate of completion!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10","Settled Defense"
6208,"Types of 2 Man Games Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “Types of 2 Man Games” Completion Certificate </p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10",
6325,"The Perfect Pick Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with 80% and receive the </p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 5",
6407,"Ball Carrier Options Quiz","<!-- wp:paragraph -->
<p>Completion of this quiz with a score of 80% will earn you the “2 Man Game - Ball Carrier Options” Quiz Certificate of Completion.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 5",
6475,"2 Man Game - Off Ball Options Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “2 Man Game - Off Ball Options” Quiz Certificate.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 5",
6566,"Phone Dial Locations Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 100% to receive the “Phone Dial Locations Quiz” Certificate of Completion!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 5",
6594,"2 Man Picking Locations Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “2 Man Game - Picking Locations Quiz” certificate of completion.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 5",
6726,"Penn State’s 3 High Offense Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the “3 High Offense Quiz” Certificate of Completion.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Settled Offense Quiz","Settled Offense"
6728,"Penn State’s 1-4-1 Wing Picks Offense Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “Penn State 1-4-1 Wing Picks Offense Quiz” Certificate!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Settled Offense Quiz","Settled Offense"
6730,"Penn State’s Pick Behind Offense Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the “Penn State’s Pick Behind Off</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Settled Offense Quiz","Settled Offense"
6732,"Penn State Offensive Basics Quiz","<!-- wp:paragraph -->
<p>This quiz will cover the basic ideas </p>
<!-- /wp:paragraph -->",,,,,,,,,,,,"Settled Offense"
6937,"21-12 Motion Offense Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “21-12 Motion Offense Quiz Certificate of Completion”!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Offense Quiz","Settled Offense"
7059,"Ground Balls Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or more to receive the Ground Ball Quiz Certificate of Compeltion!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10",
7155,"Cradling Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or more to receive the “Cradling Quiz” Certificate of completion.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10",
7214,"Switching Hands Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% more and receive the “Switching Hands” Certificate of Completion!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10",
7261,"Passing Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the “Passing Quiz” Certificate of Completion.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10",
7263,"Catching Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “Catching Quiz” Certificate of Completion”</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10",
7265,"Faking Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “Faking Quiz” Certificate of Completion”</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10",
7267,"Shooting Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “Shooting Quiz” Certificate of Completion”</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 10",
7654,"4-3 Alpha Clear Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% to receive the “4-3 Alpha Clear Certificate of Completion”!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"IQ Quizzes>Clearing Quiz|Lax IQ 15",Clear
7825,"Face Off Plays Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or more to receive the “Face Off Plays Certificate of Completion”.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"IQ Quizzes>Face Off Quiz|Lax IQ 10","Face Off"
8152,"Near Man Defense Quiz","<!-- wp:paragraph -->
<p>Complete this Quiz with a score of 80% to receive the “Near Man Defense Certificate of Completion”!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Defense Quiz","Settled Defense"
8349,"Lesson 2 Quiz : Orienting Ourselves For Success","<!-- wp:paragraph -->
<p> This quiz should serve as a personal assessment of where you are as a coach and what situation you are heading into. This is not something you were going to pass or fail, (even though the questions say they will be graded). It is an exploration of you and the situation you are in so that you can move through this course efficiently and direct exactly how you'd like to proceed.  </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p> All of the answers will be short answer and you will have the ability to print them out after the quiz. </p>
<!-- /wp:paragraph -->",,,,,,,,,,,,
8642,"Duke's Fade and Follow Motion Offense Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the Duke's Fade and Follow Motion Offense Certificate of Completion!</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span class=""has-inline-color has-vivid-red-color"">After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing, you will have to complete the quiz again.</span></strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Offense Quiz","Settled Offense"
8883,"Wesleyan's Championship Zone Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or more to receive the ""Wesleyan's Championship Zone Defense Certificate of Completion!""</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing, you will have to complete the quiz again.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Defense Quiz","Settled Defense"
9064,"L Fast Break Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or more to receive the “L Fast Break” POWLAX Certificate of Completion</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing, you will have to complete the quiz again.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Transition Defense Quiz|IQ Quizzes>Transition Offense Quiz","Transition Defense|Transition Offense"
9514,"Question Mark Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the&nbsp;“Question Mark Certification of Completion”.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing, you will have to complete the quiz again.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 5",
9517,"Step Back Throw Back Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the&nbsp;“Step Back Throw Back Certification of Completion”.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing, you will have to complete the quiz again.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 5",
12297,"10 Man Ride Master Class Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the&nbsp;“10 Man Ride"" POWLAX Certificate of Completion.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 20|IQ Quizzes>Riding Quiz",Ride
12500,"2-3-2 Clear Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the&nbsp;“2-3-2 Clear"" POWLAX Certificate of Completion.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"IQ Quizzes>Clearing Quiz|Lax IQ 15",Clear
15494,"Riding Principles and Rides Quiz","<!-- wp:paragraph -->
<p>Complete this quiz with a score of 80% or better to receive the&nbsp;“Riding Principles and Rides Quiz"" POWLAX Certificate of Completion.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Lax IQ 20|IQ Quizzes>Riding Quiz",Ride
15557,"Box and 1 Man Down Defense Quiz","Complete this quiz with a score of 80% or better to receive the “Box and 1 Man Down Defense Quiz"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Man Down Quiz","Man Down"
