ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,_mepr_rules_type,_mepr_rules_content,_is_mepr_rules_content_regexp,_mepr_rules_drip_enabled,_mepr_rules_drip_amount,_mepr_rules_drip_unit,_mepr_rules_drip_after_fixed,_mepr_rules_drip_after,_mepr_rules_expires_enabled,_mepr_rules_expires_amount,_mepr_rules_expires_unit,_mepr_rules_expires_after,_mepr_rules_expires_after_fixed,_mepr_rules_unauth_excerpt_type,_mepr_rules_unauth_excerpt_size,_mepr_rules_unauth_message_type,_mepr_rules_unath_message,_mepr_rules_unath_login,_mepr_auto_gen_title,_mepr_rules_unath_modern_paywall,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
801,"Files with File Category: PDF",,,"2020-08-07 01:42:28",memberpressrule,https://powlax.com/?memberpressrule=files-with-file-category-pdf,,,,,,,,tax_mpdl-file-categories||cpt_mpdl-file,60,,,0,days,,registers,,0,days,registers,,default,100,custom,"<p class=""whitespace-normal break-words"">I noticed you were looking for access to the PDFs. Great news - you have several options to get them!</p>
<p class=""whitespace-normal break-words"">You can access all the PDFs through any of these POWLAX products:</p>
<p class=""whitespace-normal break-words""><strong>1. Printable Playbooks ($99)</strong> - Get immediate access to all the grab-and-go visual playbooks and practice plans you can print anytime.</p>
<p class=""whitespace-normal break-words""><strong>2. Coaching Kits( $149) </strong>- These include printable practice plans with clear instructions, drill diagrams, and coaching tips that you can keep in your pocket during practice.</p>
<p class=""whitespace-normal break-words""><strong>3. Team HQ Platform (Starting at $349)</strong> - This gives you the complete hub with digital and printable playbooks, practice plans, and all team resources in one place.</p>
<p class=""whitespace-normal break-words""><strong>4. Club OS (starting at $299/team)</strong> - If you're part of a club, this includes everything above plus additional coaching resources and tools for the entire organization.</p>
<p class=""whitespace-normal break-words"">All of these options give you full access to download and print the PDFs whenever you need them. The printable resources are designed to be simple, clear, and ready to use - just open, print, and go!</p>
<p class=""whitespace-normal break-words"">Which option would work best for your needs? I'm happy to help you get set up with the right solution.</p>
<p class=""whitespace-normal break-words"">Let me know if you have any questions!</p>",default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,files-with-file-category-pdf,,,0,0,0,closed,closed,"2025-07-23 06:49:40"
930,"Posts Categorized: Gold Coaches Q&A",,,"2020-08-08 03:13:31",memberpressrule,https://powlax.com/?memberpressrule=posts-categorized-qa,,,,,,,,category,67,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,posts-categorized-qa,,,0,0,0,closed,closed,"2021-08-10 19:54:32"
5770,"A Single File: Cuse Offense | Lacrosse | POWLAX",,,"2021-07-08 17:37:51",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-cuse-offense-lacrosse-powlax,,,,,,,,single_mpdl-file,804,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-cuse-offense-lacrosse-powlax,,,0,0,0,closed,closed,"2022-03-04 12:02:56"
5772,"A Single File: Virginia's 2-2-2 From X | Lacrosse | POWLAX",,,"2021-07-08 17:43:22",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-virginias-2-2-2-from-x-lacrosse-powlax,,,,,,,,single_mpdl-file,1754,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-virginias-2-2-2-from-x-lacrosse-powlax,,,0,0,0,closed,closed,"2022-01-25 20:07:06"
5849,"A Single File: Ohio State Pairs Offense",,,"2021-07-11 04:10:48",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-ohio-state-pairs-offense,,,,,,,,single_mpdl-file,699,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-ohio-state-pairs-offense,,,0,0,0,closed,closed,"2022-02-01 19:38:04"
5934,"A Single File: Executing and Defending 2 Man Games PDF | Lacrosse | POWLAX",,,"2021-07-11 20:54:41",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-executing-and-defending-2-man-games-pdf-lacrosse-powlax,,,,,,,,single_mpdl-file,725,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-executing-and-defending-2-man-games-pdf-lacrosse-powlax,,,0,0,0,closed,closed,"2021-07-11 20:54:41"
6037,"A Single File: 3-3 Twist Man Up Play PDF | Lacrosse | POWLAX",,,"2021-07-27 02:47:33",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-3-3-twist-man-up-play-pdf-lacrosse-powlax,,,,,,,,single_mpdl-file,1215,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-3-3-twist-man-up-play-pdf-lacrosse-powlax,,,0,0,0,closed,closed,"2021-07-27 02:47:33"
6195,"A Single File: Executing and Defending 2 Man Games PDF | Lacrosse | POWLAX",,,"2021-07-28 03:27:51",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-executing-and-defending-2-man-games-pdf-lacrosse-powlax-2,,,,,,,,single_mpdl-file,725,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-executing-and-defending-2-man-games-pdf-lacrosse-powlax-2,,,0,0,0,closed,closed,"2022-03-23 10:41:15"
6875,"A Single File: Penn State Offense PDF | Lacrosse | POWLAX",,,"2021-08-09 20:19:46",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-penn-state-offense-pdf-lacrosse-powlax,,,,,,,,single_mpdl-file,886,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-penn-state-offense-pdf-lacrosse-powlax,,,0,0,0,closed,closed,"2022-01-17 12:45:35"
6897,"A Single File: 21-12 Motion Offense PDF | Lacrosse | POWLAX",,,"2021-08-10 19:22:16",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-21-12-motion-offense-pdf-lacrosse-powlax,,,,,,,,single_mpdl-file,1141,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-21-12-motion-offense-pdf-lacrosse-powlax,,,0,0,0,closed,closed,"2022-04-05 11:53:25"
