,,powlax_wall_ball_drill,strong_hand_video,off_hand_video,both_hands_video,Master Fundamentals Wall Ball Routine,Master Fundamentals Wall Ball Workout,Master Fundamentals Wall Ball Workout,Dodging Wall Ball Workout,Dodging Wall Ball Workout,Dodging Wall Ball Workout,Conditioning Wall Ball Workout,Conditioning Wall Ball Workout,Conditioning Wall Ball Workout,Faking and Inside Finishing Wall Ball Workout,Faking and Inside Finishing Wall Ball Workout,Faking and Inside Finishing Wall Ball Workout,Shooting Wall Ball Workout,Shooting Wall Ball Workout,Shooting Wall Ball Workout,Long Pole Skills Wall Ball Workout,Long Pole Skills Wall Ball Workout,Long Pole Skills Wall Ball Workout,Catch Everything Wall Ball Workout,Catch Everything Wall Ball Workout,Catch Everything Wall Ball Workout,Advanced - Fun and Challenging Wall Ball Workout,Advanced - Fun and Challenging Wall Ball Workout,Advanced - Fun and Challenging Wall Ball Workout
11,3 Steps Up and Back,3 Steps Up and Back,https://player.vimeo.com/video/997146099,https://player.vimeo.com/video/997153712,,,,,,,,5,3,1,,,,,,,7,,,,,,,,
35,80% Over Hand Shooting,80% Overhand Shooting,,,https://player.vimeo.com/video/997146323,,,,,,,,,,,,,9,5,3,,,,10,,,,,
36,80% Side Arm Shooting,80% Side Arm Shooting,https://player.vimeo.com/video/997146248,https://player.vimeo.com/video/997146177,,,,,,,,,,,,,,10,6,,,,,11,,,,,
41,Ankle Biters,Ankle Biters,https://player.vimeo.com/video/997146551,https://player.vimeo.com/video/997145951,,,,,,,,,,,,,,,,,16,,,12,9,,12,,
,Around The World,Around The World,https://player.vimeo.com/video/997146713,https://player.vimeo.com/video/997146631,,,,,,,,,,,14,9,,,,,,,,,,,6,3,
13,Behind The Back,Behind The Back,https://player.vimeo.com/video/997146917,https://player.vimeo.com/video/997146803,,15,,,,,,,,,13,8,4,,,,,,,,,,5,2,
7,Bottom Hand Only,Bottom Hand Only,https://player.vimeo.com/video/997147289,https://player.vimeo.com/video/997147132,,6,,,,,,4,,,,,,5,,,,,,,,,3,,
25,Canadian Cross Hand,Canadian Cross Hand,https://player.vimeo.com/video/997147539,https://player.vimeo.com/video/997147443,,,,,,,,,,,3,,,6,,,,,,,,,4,,
17,Catch and Hitch,Catch and Hitch,,,https://player.vimeo.com/video/997147689,,,,7,6,6,10,8,,,,,13,,,,,,,,,,,
5,Catch and Switch,Catch and Switch,,,https://player.vimeo.com/video/997147863,10,6,5,2,1,1,,,,,,,,,,,,,,,,,,
27,Criss Cross Quick Sticks,Criss Cross Quick Sticks,https://player.vimeo.com/video/997148080,https://player.vimeo.com/video/997147987,,,,,,,,,,,8,,,,,,,,,6,6,,9,6,1
10,Face Dodge Shovel Pass,Face Dodge Shovel Pass,https://player.vimeo.com/video/997148282,https://player.vimeo.com/video/997148200,,12,7,,3,2,2,,,,,,,,,,5,5,2,,,,,,
31,Far Fake - Near Fake - Finish Far,Far Fake - Near Fake - Finish Far,https://player.vimeo.com/video/997148444,https://player.vimeo.com/video/997148402,,,,,,,,,,,12,,,,,,,,,,,,,,
30,Far Side Fake,Far Side Fake,https://player.vimeo.com/video/997148620,https://player.vimeo.com/video/997148528,,4,4,,,,,,,,11,7,3,,,,,,,,,,,,
22,Figure 8 - Down The Middle,Figure 8 - Down the Middle,https://player.vimeo.com/video/997148704,https://player.vimeo.com/video/997148657,,,,,,,,8,6,4,,,,,,,14,,,,,,,,
23,Figure 8 - Up The Middle,Figure 8 - Up the Middle,https://player.vimeo.com/video/997148792,https://player.vimeo.com/video/997148748,,,,,,,,8,7,5,,,,,,,15,,,,,,,,
12,Figure 8 Ground Balls,Figure 8 - Ground Balls,,,https://player.vimeo.com/video/997149045,14,8,,,,,7,5,3,,,,,,,8,7,4,,,,,,
39,Jump Shot,Jump Shot,https://player.vimeo.com/video/997150144,https://player.vimeo.com/video/997150061,,,,,10,,,,,,,,,14,9,,,,,,,,,,
33,Leaner,Leaner,https://player.vimeo.com/video/997150361,https://player.vimeo.com/video/997150236,,,,,,,,,,,15,10,5,18,,,,,,,,,10,7,2
18,Lever Pass,Lever Pass,https://player.vimeo.com/video/997150608,https://player.vimeo.com/video/997150493,,,,,8,7,,,,,7,5,,,,,13,,,,,,8,5,
