,,,,This column denotes where the drills will take place.   Please add a section for “Location of Drills:” to the practice description and list the names of each location.,These columns denote which equipment a player will need to do the training that day.  Please add a section for “Equipment Needed:” into the practice description and list the names of what is needed. ,,,,,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Attack 7,Attack 8,Attack 9,Attack 10,Attack 11,Attack 12,Midfield 12,Midfield 11,Midfield 10,Midfield 9,Midfield 8,Midfield 7,Midfield 6,Midfield 5,Midfield 4,Midfield 3,Midfield 2,Midfield 1,,,,,,,,Defense 1,Defense 2,Defense 3,Defense 4,Defense 5,Defense 6,Defense 7,Defense 8,Defense 9,Defense 10,Defense 11,Defense 12
Category,Name,VIMEO URL,,Location or Setup,Balls,Goal Needed,Cones Needed,Bounce Back or Partner Needed,Speed Ladder,,,,,,,,,,,,,"Midfield Practice 12: Mastering Approaches, Slides, and Recoveries",Midfield Practice 11:  Shooting on the Run and Slide Em Dodging,"Midfield Practice 10: Inside Finishing, Time and Room Shooting, Mastering the Face Dodge","Midfield Practice 9:  Inside Finishing, Hesitation Moves and Roll Dodges","Midfield Practice 8: Ladder Footwork, GB’s, Approach Angles and Creative Dodging",Midfield Practice 7: Mastering the Split Dodge and Shooting on the Run,"Midfield Practice 6: Time and Room Shooting, Wind Up Dodging and Hitches","Midfield Practice 5:
Wing Dodging","Midfield Day 4: Defensive Footwork, Approaches Angles and Recoveries","Midfield Practice 3: Catching, Faking, and Inside Finishing",Midfield Practice 2: Shooting Progression moving from Inside to On the Run to Time and Room,Midfield Practice 1: Overview of Basic Skills.,I Frame Embed,,Attack,Progression Information,Midfield,Defense,Beginner,,,,,,,,,,,,
This is the category of the drill.  ,This is the name of the drill,These URLS are to be embedded when creating the practice plans.,Lean Dash Embed,This column corresponds to the possible set up locations for each drill.  Running drills with similar locations can create a more cohesive practice.,,,,,,,,,,,,,,,,,,"Defensive Slides , Recovery, and Rotations",Slide Em Dodging,"Face Dodge, Inside Finishing, End with Answer Moves",Roll / Hesi’s Dodge,"Ladder Footwork, Top Approaches, Creative Dodging",Split Dodge,Hitch / Wind Up Dodging,Wing Dodging ,Defensive Approach and Recover,"Catching, Faking, and Inside Finishing ",Shooting Progression,Cradling Stick Protection  Passing Shooting Split,,,"B means basics for being an attackman, but these are to be used sparingly.  
F means that these drills are foundational to the development of a great Attackman and should be used most.
S means the drills can be useful to Attackman, but are more supplementary.
N/A means that they do not apply to Attack, but can be done for fun.
X - These are advanced drills to try that can be done for fun.","This is the progression of the drill that corresponds to the category.  
Technique = a technique drill that breaks down an aspect of a drill and should be run before the drill elements.
Drill - Drills are exercises that use the techniques.","B means basics for being an Midfielder, but these are to be used sparingly.  
F means that these drills are foundational to the development of a great Midfielder and should be used most
S means the drills can be useful to Midfielder, but are more supplementary.
N/A means that they do not apply to midfield, but can be done for fun.
X - These are advanced drills to try that can be done for fun.","B means basics for being an defenseman, but these are to be used sparingly.  
F means that these drills are foundational to the development of a great Defenseman and should be used mos…
S means the drills can be useful to Defenseman, but are more supplementary.
N/A means that they do not apply to defense, but can be done for fun.
X - These are advanced drills to try that can be done for fun.","F means that these drills are foundational to the development of a beginning player.
A means the drills can be useful to beginner, but are more Advanced or specific to a position",,,,,,,,,,,,
Catching Drills,Cross Body Catch and Pause Drill,https://vimeo.com/1005106024,<p>Cross Body Catch and Pause Drill</p><br>,Bounce Back or Partner,X,,,X,,,,,,,,,,,,,,,,,,,,,,,5,,,"<iframe src=""https://player.vimeo.com/video/1005106024"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,F,F,,,,,,,,,,,,
Catching Drills,Low Catch Drill,https://vimeo.com/1005106359,<p>Low Catch Drill</p><br>,Bounce Back or Partner,X,,,X,,,,,,,,,,,,,,,,,,,,,,,7,,,"<iframe src=""https://player.vimeo.com/video/1005106359"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 5,F,F,F,,,,,,,,,,,,
Catching Drills,Over The Shoulder Catching Drill,https://vimeo.com/1005106217,<p>Over The Shoulder Catching Drill</p><br>,Bounce Back or Partner,X,,,X,,,,,,,,,,,,,,,,,,,,,,,6,,,"<iframe src=""https://player.vimeo.com/video/1005106217"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,F,F,F,,,,,,,,,,,,
Catching Drills,Pop to Catch Drill,https://vimeo.com/1005106321,<p>Pop to Catch Drill</p><br>,Bounce Back or Partner,X,,,X,,,,,,,,,,,,,,,,,,,,,,,8,,,"<iframe src=""https://player.vimeo.com/video/1005106321"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 6,F,F,F,,,,,,,,,,,,
Catching Drills,Quick Stick Catching Drill,https://vimeo.com/1002923901,<p>Quick Stick Catching Drill</p><br>,Bounce Back or Partner,X,,,X,,,,,,,,,,,,,,,,,,,,,,,3,,,"<iframe src=""https://player.vimeo.com/video/1002923901"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,F,F,,,,,,,,,,,,
Catching Drills,Single Cradle Catching Drill,https://vimeo.com/1005106282,<p>Single Cradle Catching Drill</p><br>,Bounce Back or Partner,X,,,X,,,,,,,,,,,,,,,,,,,,,,,4,,,"<iframe src=""https://player.vimeo.com/video/1005106282"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,F,F,,,,,,,,,,,,
Cradling,2 Hand Cradle Away Drill,https://vimeo.com/1000143414,<p>2 Hand Cradle Away Drill</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"<iframe src=""https://player.vimeo.com/video/1000143414"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 3,F,F,F,,,,,,,,,,,,
Cradling,Horizontal Cradle Circles,https://vimeo.com/1000143480,<p>Horizontal Cradle Circles</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1000143480"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,B,Drill 2,B,B,F,,,,,,,,,,,,
Cradling,One Handed Protected Cradle,https://vimeo.com/1000143432,<p>One Handed Protected Cradle</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1000143432"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 4,F,B,F,,,,,,,,,,,,
Cradling,Shooting Cradle Circles Drill,https://vimeo.com/1000143531,<p>Shooting Cradle Circles Drill</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1000143531"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,B,Drill 3,B,B,F,,,,,,,,,,,,
Cradling,Shoulder to Nose Cradle,https://vimeo.com/1000143366,<p>Shoulder to Nose Cradle</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"<iframe src=""https://player.vimeo.com/video/1000143366"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,B,Technique 2,B,B,F,,,,,,,,,,,,
Cradling,Shoulder to Shoulder Cradle,https://vimeo.com/1000143384,<p>Shoulder to Shoulder Cradle</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"<iframe src=""https://player.vimeo.com/video/1000143384"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,B,Technique 1,B,B,F,,,,,,,,,,,,
Cradling,Vertical Cradle Circles,https://vimeo.com/1000143452,<p>Vertical Cradle Circles</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1000143452"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,B,Drill 1,B,B,F,,,,,,,,,,,,
Cradling,Wind Up Face Dodge to Shin Cradles,https://vimeo.com/1000143512,<p>Wind Up Face Dodge to Shin Cradles</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1000143512"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,B,Drill 4,B,B,F,,,,,,,,,,,,
Face Dodge,Face Dodge to Answer Move Drill,https://vimeo.com/995813715,<p>Face Dodge to Answer Move Drill</p><br>,North South Dodge,X,X,X,,,,,,,,,,,,,,,,,15,,,,14,,,,,,"<iframe src=""https://player.vimeo.com/video/995813715"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,S,A,,,,,,,,,,,,
Face Dodge,Foot Fire Single Jab Face Dodge Drill,https://vimeo.com/995814381,<p>Foot Fire Single Jab Face Dodge Drill</p><br>,North South Dodge,X,X,X,,,,,,,,,,,,,,,,,12,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/995814381"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,S,F,,,,,,,,,,,,
Face Dodge,Foot Fire Single Jab Face Dodge to Answer Move,https://vimeo.com/995814233,<p>Foot Fire Single Jab Face Dodge to Answer Move</p><br>,North South Dodge,X,X,X,,,,,,,,,,,,,,,,,14,,12,,,,,,,,"<iframe src=""https://player.vimeo.com/video/995814233"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 5,F,S,A,,,,,,,,,,,,
