ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,_gamipress_points_condition,_gamipress_points_required,_gamipress_points_type_required,_gamipress_rank_type_required,_gamipress_rank_required,_gamipress_post_type_required,_gamipress_user_role_required,_gamipress_meta_key_required,_gamipress_meta_value_required,_gamipress_count,_gamipress_limit,_gamipress_limit_type,_gamipress_trigger_type,_gamipress_achievement_type,_gamipress_optional,_gamipress_url,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
25792,"Earn 25 Lax Credits to Graduate to Second Bar Syndrome!",,,"2024-10-03 18:45:52",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=25792,,,,,,,,greater_or_equal,25,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,25792-2,,,25790,2nd-bar-syndrome,0,closed,closed,"2025-01-15 18:32:34"
25795,"Earn 60 Lax Credits to Graduate to Left Bench!",,,"2024-10-03 19:16:46",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=25795,,,,,,,,greater_or_equal,60,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,25795-2,,,25794,left-bench,0,closed,closed,"2025-01-15 19:07:59"
25805,"Earn 100 Lax Credits to become the “Celly King”!",,,"2024-10-03 20:57:45",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=25805,,,,,,,,greater_or_equal,100,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,25805-2,,,25803,celly-king,0,closed,closed,"2025-01-15 18:34:28"
26677,"Earn 140 Lax Credits to Become the D-mid Rising!",,,"2024-10-07 21:31:14",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=26677,,,,,,,,greater_or_equal,140,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,26677-2,,,26500,d-mid-rising,0,closed,closed,"2025-01-15 18:35:12"
27866,"Earn 200 Lax Credits and become the Lacrosse Utility!",,,"2024-10-11 20:42:20",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=27866,,,,,,,,greater_or_equal,200,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,27866-2,,,26501,lacrosse-utility,0,closed,closed,"2025-01-15 18:36:44"
27867,"Earn 1000 Lax Credits to Become a Lax God and Do Pretty Much Whatever You Want!",,,"2024-10-11 20:43:20",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=27867,,,,,,,,greater_or_equal,1000,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,27867-2,,,26503,lax-god,0,closed,closed,"2025-01-15 18:39:10"
27868,"Earn 300 Lax Credits to Activate Flow Bro Mode!",,,"2024-10-11 20:44:43",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=27868,,,,,,,,greater_or_equal,300,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,27868-2,,,26502,flow-bro,0,closed,closed,"2025-01-15 18:37:25"
27869,"Earn 900 Lax Credits",,,"2024-10-11 20:46:36",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=27869,,,,,,,,greater_or_equal,900,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,27869-2,,,26512,,0,closed,closed,"2024-10-11 20:46:57"
27870,"Earn 600 Lax Credits",,,"2024-10-11 20:47:44",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=27870,,,,,,,,greater_or_equal,600,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,27870-2,,,26510,,0,closed,closed,"2024-10-11 20:48:29"
28521,"Earn 450 Lax Credits to Prove You're a Lax Beast!",,,"2024-10-16 21:07:53",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=28521,,,,,,,,greater_or_equal,450,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,28521-2,,,28520,lax-beast,0,closed,closed,"2025-01-15 18:37:53"
28526,"Earn 600 Lax Credits to Wield Your Stick Like a Lax Ninja!",,,"2024-10-16 21:11:57",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=28526,,,,,,,,greater_or_equal,600,lax-credit,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,28526-2,,,28525,stick-sorcerer,0,closed,closed,"2025-01-15 18:38:28"
34538,"Earn 5 Lax IQ Points",,,"2025-01-15 17:40:06",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34538,,,,,,,,equal,5,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34538-2,,,34537,5-lax-iq-points,0,closed,closed,"2025-01-15 19:39:56"
34540,"Earn 10 Lax IQ Points",,,"2025-01-15 17:45:03",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34540,,,,,,,,greater_or_equal,10,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34540-2,,,34539,10-lax-iq-points,0,closed,closed,"2025-01-15 17:45:24"
34542,"Earn 15 Lax IQ Points",,,"2025-01-15 17:48:09",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34542,,,,,,,,greater_or_equal,15,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34542-2,,,34541,15-lax-iq-points,0,closed,closed,"2025-01-15 17:48:28"
34544,"Earn 20 Lax IQ Points",,,"2025-01-15 17:49:40",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34544,,,,,,,,greater_or_equal,20,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34544-2,,,34543,20-lax-iq-points,0,closed,closed,"2025-01-15 17:49:56"
