ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,_bpgtc_selected_group_types,_bpgtc_tab_is_active,_bpgtc_tab_label,_bpgtc_tab_slug,_bpgtc_tab_enabled_for,_bpgtc_tab_visible_for,_bpgtc_tab_position,_bpgtc_subnav_items,_bpgtc_is_default_component,_bpgtc_tab_update_label,_wp_old_date,_bpgtc_tab_is_existing,_bpgtc_tab_link,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
38332,Playbook,,,"2025-04-10 16:37:22",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/playbook/,,,,,,,,"a:3:{i:0;s:14:""single-team-hq"";i:1;s:10:""club-hq717"";i:2;s:10:""team-hq363"";}",on,Playbook,playbook,"a:1:{i:0;s:3:""all"";}","a:1:{i:0;s:12:""members_only"";}",2,"a:2:{i:0;a:10:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:14:""Team Playbooks"";s:4:""slug"";s:13:""team-playbook"";s:8:""position"";s:1:""1"";s:15:""site_admin_only"";b:0;s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}s:3:""url"";s:0:"""";s:11:""item_css_id"";s:0:"""";s:7:""content"";s:35:""[buddyboss_group_learndash_courses]"";}i:1;a:7:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:21:""Team Digital Playbook"";s:4:""slug"";s:16:""digital-playbook"";s:8:""position"";s:1:""2"";s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}s:7:""content"";s:377:""The POWLAX Digital Playbook gives you full access to all of my plays, drills, and systems—customizable and shareable inside <a href=""https://labradorsports.com/lacrosse"">Lacrosse Lab.</a> It's included with <a href=""https://powlax.com/coaching-kits/"">Coaching Kits</a>, <a href=""https://powlax.com/team-hq/"">Team HQ</a>, and <a href=""https://powlax.com/club-os/"">Club OS</a>."";}}",on,on,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,playbook,,,0,0,0,closed,closed,"2025-07-23 07:28:58"
38335,Calendar,,,"2025-04-10 16:56:01",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/calendar/,,,,,,,,a:0:{},,Calendar,Calendar,"a:1:{i:0;s:3:""all"";}","a:1:{i:0;s:12:""members_only"";}",7,"a:1:{i:0;a:3:{s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}s:7:""content"";s:36:""This is where the calendar could go."";}}",,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,calendar,,,0,0,0,closed,closed,"2025-04-30 06:08:21"
38336,Leaderboard,,,"2025-04-10 16:59:35",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/leaderboard/,,,,,,,,"a:2:{i:0;s:14:""single-team-hq"";i:1;s:10:""team-hq363"";}",on,Leaderboard,leaderboard,"a:1:{i:0;s:3:""all"";}","a:2:{i:0;s:3:""all"";i:1;s:12:""members_only"";}",4,"a:2:{i:0;a:10:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:16:""Team Leaderboard"";s:4:""slug"";s:16:""team-leaderboard"";s:8:""position"";s:1:""1"";s:15:""site_admin_only"";b:0;s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:3:{i:0;s:3:""all"";i:1;s:9:""logged_in"";i:2;s:12:""members_only"";}s:3:""url"";s:0:"""";s:11:""item_css_id"";s:0:"""";s:7:""content"";s:19:""[buddy_team_points]"";}i:1;a:7:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:12:""Player Cards"";s:4:""slug"";s:12:""player-cards"";s:8:""position"";s:1:""2"";s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:3:{i:0;s:3:""all"";i:1;s:9:""logged_in"";i:2;s:12:""members_only"";}s:7:""content"";s:13:""[team_points]"";}}",on,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,leaderboard,,,0,0,0,closed,closed,"2025-07-04 19:26:45"
38349,"Skills Academy",,,"2025-04-10 19:08:11",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/skills-academy/,,,,,,,,"a:2:{i:0;s:14:""single-team-hq"";i:1;s:10:""team-hq363"";}",on,"Skills Academy",skills-academy,"a:1:{i:0;s:3:""all"";}","a:3:{i:0;s:3:""all"";i:1;s:9:""logged_in"";i:2;s:12:""members_only"";}",5,"a:3:{i:0;a:10:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:16:""Academy Workouts"";s:4:""slug"";s:26:""academy-workouts-group-tab"";s:8:""position"";s:1:""3"";s:15:""site_admin_only"";b:0;s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}s:3:""url"";s:0:"""";s:11:""item_css_id"";s:0:"""";s:7:""content"";s:436:""<a href=""https://powlax.com/free-academy-workouts/"">Free Workouts</a>

<a href=""https://powlax.com/solid-start-workouts/"">Solid Start Workouts</a>

<a href=""https://powlax.com/attack-workouts/"">Attack Workouts</a>

<a href=""https://powlax.com/midfield-workouts/"">Midfield Workouts</a>

<a href=""https://powlax.com/defense-workouts/"">Defense Workouts</a>

<a href=""https://powlax.com/wall-ball-workouts/"">Wall Ball Workouts</a>"";}i:1;a:10:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:23:""Log Self-Guided Workout"";s:4:""slug"";s:13:""log-a-workout"";s:8:""position"";s:1:""4"";s:15:""site_admin_only"";b:0;s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}s:3:""url"";s:0:"""";s:11:""item_css_id"";s:0:"""";s:7:""content"";s:420:""<a href=""https://powlax.com/attack-self-guided-attack-work-out/"">Log Self Guided Attack Workout</a>

<a href=""https://powlax.com/midfield-13-self-guided-midfield-workout/"">Log Self Guided Midfield Workout</a>

<a href=""https://powlax.com/defense-13-self-guided-defense-work-out/"">Log Self Guided Defense Workout</a>

<a href=""https://powlax.com/self-guided-wall-ball-workout/"">Log Self Guided Wall Ball Workout</a>"";}i:2;a:7:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:10:""Drill Bank"";s:4:""slug"";s:10:""drill-bank"";s:8:""position"";s:1:""5"";s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}s:3:""url"";s:30:""https://powlax.com/drill-bank/"";}}",,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,skills-academy,,,0,0,0,closed,closed,"2025-07-23 07:26:16"
38909,Discussions,,,"2025-04-30 06:12:15",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/discussions/,,,,,,,,a:0:{},on,Discussions,forum,"a:1:{i:0;s:3:""all"";}","a:1:{i:0;s:3:""all"";}",3,"a:1:{i:0;a:2:{s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}}}",on,on,2025-04-18,on,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,discussions,,,0,0,0,closed,closed,"2025-04-30 06:16:40"
41029,Teams,,,"2025-07-23 07:14:21",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/teams/,,,,,,,,"a:1:{i:0;s:10:""club-hq717"";}",on,Teams,subgroups,"a:1:{i:0;s:3:""all"";}","a:1:{i:0;s:3:""all"";}",2,"a:1:{i:0;a:6:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:10:""Club Teams"";s:4:""slug"";s:10:""club-teams"";s:8:""position"";s:1:""1"";s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}}}",on,on,2025-04-30,on,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,teams,,,0,0,0,closed,closed,"2025-07-23 07:14:21"
41030,"Activity Feed",,,"2025-04-30 06:13:07",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/activity-feed/,,,,,,,,a:0:{},on,Feed,activity,"a:1:{i:0;s:3:""all"";}","a:2:{i:0;s:9:""logged_in"";i:1;s:12:""members_only"";}",1,"a:1:{i:0;a:2:{s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}}}",on,,,on,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,activity-feed,,,0,0,0,closed,closed,"2025-04-30 06:18:51"
41031,Members,,,"2025-04-30 06:14:00",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/members/,,,,,,,,a:0:{},on,Members,members,"a:1:{i:0;s:3:""all"";}","a:1:{i:0;s:3:""all"";}",2,"a:1:{i:0;a:2:{s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:1:{i:0;s:3:""all"";}}}",on,,,on,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,members,,,0,0,0,closed,closed,"2025-04-30 06:19:31"
41466,"Coaches Dashboard",,,"2025-05-16 03:44:25",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/coaches-dashboard/,,,,,,,,"a:2:{i:0;s:14:""single-team-hq"";i:1;s:10:""team-hq363"";}",on,"Coaches Dashboard",coach-dashboard,"a:1:{i:0;s:3:""all"";}","a:2:{i:0;s:10:""admin_only"";i:1;s:9:""mods_only"";}",5,"a:1:{i:0;a:6:{s:5:""label"";s:19:""Pro Panel Dashboard"";s:4:""slug"";s:19:""pro-panel-dashboard"";s:8:""position"";s:1:""1"";s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:2:{i:0;s:10:""admin_only"";i:1;s:9:""mods_only"";}s:3:""url"";s:37:""https://powlax.com/coaches-dashboard/"";}}",,,,,https://powlax.com/coaches-dashboard/,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,coaches-dashboard,,,0,0,0,closed,closed,"2025-07-21 23:33:04"
41470,"Director Dashboard",,,"2025-05-16 04:02:41",bpgtc_group_tab,https://powlax.com/bpgtc_group_tab/director-dashboard/,,,,,,,,"a:1:{i:0;s:10:""club-hq717"";}",,"Director Dashboard",director-dashboard,"a:1:{i:0;s:3:""all"";}","a:2:{i:0;s:10:""admin_only"";i:1;s:9:""mods_only"";}",,"a:1:{i:0;a:7:{s:9:""is_active"";s:2:""on"";s:5:""label"";s:14:""Club Dashboard"";s:4:""slug"";s:14:""club-dashboard"";s:8:""position"";s:1:""1"";s:11:""enabled_for"";a:1:{i:0;s:3:""all"";}s:11:""visible_for"";a:2:{i:0;s:10:""admin_only"";i:1;s:9:""mods_only"";}s:7:""content"";s:92:""Reporting

[ld_propanel widget=""reporting""]

Activity

[ld_propanel widget=""activity""]"";}}",,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,director-dashboard,,,0,0,0,closed,closed,"2025-05-16 04:02:41"
