Path1,Column A,Column B,Column C,,name,CSV Reference,Paste Embed Code in This Column,Share Link,drill_category,drill_game_states,description,SOLIDIFICATION NUMBERS,Safe Name W/O Comma's,,tags,Quoted Description,createdDate,lastUpdated
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Off Ball,PSO - 14 - Backside Cut and Separate,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=wBVd6KpuJJWsmLjygWiU"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=wBVd6KpuJJWsmLjygWiU,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Backside Cut and Separate is used by the backside  to ensure that Defenseman can’t okay both players.",432,PSO - 14 - Backside Cut and Separate,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Backside Cut and Separate is used by the backside  to ensure that Defenseman can’t okay both players.""",2021-01-03T14:31:06.260Z,2024-03-10T00:31:12.484Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Off Ball,PSO - 14 - Backside Exchange,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=T0AKzk7fktOfkIVm8dyw"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=T0AKzk7fktOfkIVm8dyw,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Backside Exchange is used by the backside players to set up for a secondary dodge.",433,PSO - 14 - Backside Exchange,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Backside Exchange is used by the backside players to set up for a secondary dodge.""",2021-01-03T14:31:06.260Z,2025-04-16T06:41:46.303Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Scoring Plays,PSO - 14 - Backside Separation,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=Gp1HGvWmPy8Aww2H1DKu"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=Gp1HGvWmPy8Aww2H1DKu,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Backside exchange and separate ensures 1 player can not play 2.",438,PSO - 14 - Backside Separation,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Backside exchange and separate ensures 1 player can not play 2.""",2021-01-03T14:31:06.260Z,2024-08-20T18:39:06.674Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Scoring Plays,PSO - 14 - Hang Up Games,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=TdhiPE5MEY3n03aPt6wj"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=TdhiPE5MEY3n03aPt6wj,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The player at X will entice his defender to help and a fade to hang up his defender on the pass.",439,PSO - 14 - Hang Up Games,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The player at X will entice his defender to help and a fade to hang up his defender on the pass.""",2021-01-03T14:31:06.260Z,2024-08-20T18:40:29.138Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,2 Man Game - Wings,PSO - 14 - Mirror Motion,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=L4sQEswGq1Yvo4CxZ0Vg"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=L4sQEswGq1Yvo4CxZ0Vg,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 1-4-1 Wing Mirror us used to entice slides from strong players on the crease.",430,PSO - 14 - Mirror Motion,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 1-4-1 Wing Mirror us used to entice slides from strong players on the crease.""",2021-01-03T14:31:06.260Z,2024-03-06T02:36:50.976Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Scoring Plays,"PSO - 14 - Mirror, Won’t Slide",,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=PEbwoeaLyfi4CiQF7pez"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=PEbwoeaLyfi4CiQF7pez,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

If they won’t slide off of the mirror player -  the dodgers will have tons of room.",440,"""PSO - 14 - Mirror, Won’t Slide""","""PSO",Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

If they won’t slide off of the mirror player -  the dodgers will have tons of room.""",2021-01-03T14:31:06.260Z,2024-08-20T18:39:36.019Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,2 Man Game - Wings,PSO - 14 - Pick Motion,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=qtfLOS6Lu4P41Gs4g3T3"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=qtfLOS6Lu4P41Gs4g3T3,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 1-4-1 Wing Mirror us used to entice slides from strong players on the crease.",431,PSO - 14 - Pick Motion,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 1-4-1 Wing Mirror us used to entice slides from strong players on the crease.""",2021-01-03T14:31:06.260Z,2025-02-18T19:51:13.667Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Scoring Plays,PSO - 14 - Secondary Picks,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=30cZCOtlF6oil6xzYwca"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=30cZCOtlF6oil6xzYwca,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Backside Motion will prep for the next 2 Man Game.",441,PSO - 14 - Secondary Picks,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Backside Motion will prep for the next 2 Man Game.""",2021-01-03T14:31:06.260Z,2024-03-06T02:40:13.815Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Off Ball,PSO - 14 - Top Cut The Middle,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=3RM2tj5WasWOKzrjkwcS"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=3RM2tj5WasWOKzrjkwcS,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Top Cut happens when the player Up top Cuts Down the Middle.  We showed it here with a backside exchange to maintain spacing.",434,PSO - 14 - Top Cut The Middle,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Top Cut happens when the player Up top Cuts Down the Middle.  We showed it here with a backside exchange to maintain spacing.""",2021-01-03T14:31:06.260Z,2024-04-08T03:37:13.849Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Off Ball,PSO - 14 - Top Fade,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=9HPQVApTmM7ydTp2SXqH"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=9HPQVApTmM7ydTp2SXqH,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The top fade is used by the player up top to give the dodger room over the top.  We are going to show it with a backside Cut and separate because it will maintain great spacing.",435,PSO - 14 - Top Fade,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The top fade is used by the player up top to give the dodger room over the top.  We are going to show it with a backside Cut and separate because it will maintain great spacing.""",2021-01-03T14:31:06.260Z,2024-03-06T02:35:45.955Z
