name,Vimeo Connection to Map,Reference ID,Strategy Categories,Strategy Name,Lacrosse Lab Link (JSONB Array),description (Combined),Paste Embed Code in This Column (JSONB Array)
"1-4-1 Offense vs Zone Defense","1","1","Zone Offense","1-4-1 Carry Step Off Offense","[""https://lacrosse.labradorsports.com/play?l=PP4bb1KQCS6MdOxWMe4B"",""https://lacrosse.labradorsports.com/play?l=xqSSSwg1DgTj2cpWMHZT"",""https://lacrosse.labradorsports.com/play?l=ZmNqaxMdAQigCRie6iKi"",""https://lacrosse.labradorsports.com/play?l=tw5XOBxoKHM0MA3bQ1Fp""]","This is a play in the 1-4–1 carry step off offense.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=PP4bb1KQCS6MdOxWMe4B\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=xqSSSwg1DgTj2cpWMHZT\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ZmNqaxMdAQigCRie6iKi\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=tw5XOBxoKHM0MA3bQ1Fp\"" style=\""max-width: 100%\""></iframe>""]"
"14 Carry Step off Man Up","2","2","Zone Offense","1-4-1 Carry Step Off","[]","","[]"
"1-4-1 Double Mumbo to Weave Set Play","3","3","Offense - Set Plays","1-4-1 Double Mumbo to Weave","[""https://lacrosse.labradorsports.com/play?l=XemubuaV5Lq6ZRQHtrUU""]","This play is designed to give your best shooters a step-down shot from 8-10 yards","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=XemubuaV5Lq6ZRQHtrUU\"" style=\""max-width: 100%\""></iframe>""]"
"1-4-1 Shifted Triangles Motion Offense","4","4","Offense","1-4-1 Shifted Triangles Offense","[""https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg"",""https://lacrosse.labradorsports.com/play?l=rNf2I3YNj56OcfwCSEDi"",""https://lacrosse.labradorsports.com/play?l=abSVUhjsb6NSV8XI1ipG"",""https://lacrosse.labradorsports.com/play?l=NeaEqBJkXDx358GjlqyF"",""https://lacrosse.labradorsports.com/play?l=XHHNMqlDKKr5VH76QuZK"",""https://lacrosse.labradorsports.com/play?l=FtpyPAVRBpnLljq6b9Xp""]","This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=rNf2I3YNj56OcfwCSEDi\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=abSVUhjsb6NSV8XI1ipG\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=NeaEqBJkXDx358GjlqyF\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=XHHNMqlDKKr5VH76QuZK\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=FtpyPAVRBpnLljq6b9Xp\"" style=\""max-width: 100%\""></iframe>""]"
"Jim Berkman's 10 Recruiting Tips","5","5","","Jim Berkman's 10 Recruiting Tips","[]","","[]"
"1-4-1 Wing Pairs Offense","6","6","Offense","#REF!","[""https://lacrosse.labradorsports.com/play?l=L4sQEswGq1Yvo4CxZ0Vg"",""https://lacrosse.labradorsports.com/play?l=qtfLOS6Lu4P41Gs4g3T3"",""https://lacrosse.labradorsports.com/play?l=wBVd6KpuJJWsmLjygWiU"",""https://lacrosse.labradorsports.com/play?l=T0AKzk7fktOfkIVm8dyw"",""https://lacrosse.labradorsports.com/play?l=3RM2tj5WasWOKzrjkwcS"",""https://lacrosse.labradorsports.com/play?l=9HPQVApTmM7ydTp2SXqH"",""https://lacrosse.labradorsports.com/play?l=1e4PDYLKCgdfJkY0shB9"",""https://lacrosse.labradorsports.com/play?l=eLSP3nNMUrhg51qWAZT5"",""https://lacrosse.labradorsports.com/play?l=Gp1HGvWmPy8Aww2H1DKu"",""https://lacrosse.labradorsports.com/play?l=TdhiPE5MEY3n03aPt6wj"",""https://lacrosse.labradorsports.com/play?l=PEbwoeaLyfi4CiQF7pez"",""https://lacrosse.labradorsports.com/play?l=30cZCOtlF6oil6xzYwca""]","The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 1-4-1 Wing Mirror us used to entice slides from strong players on the crease. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Backside Cut and Separate is used by the backside  to ensure that Defenseman can’t okay both players. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Backside Exchange is used by the backside players to set up for a secondary dodge. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The Top Cut happens when the player Up top Cuts Down the Middle.  We showed it here with a backside exchange to maintain spacing. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The top fade is used by the player up top to give the dodger room over the top.  We are going to show it with a backside Cut and separate because it will maintain great spacing. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The player at X will play hang up games with his defenseman by fading away to give room to the dodger while enticing the defenseman to slide so he can push Backside after a pass.

We will see the hang up games with a Mirror Motion -  Backside Cut and Separate -  and Top Fade. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Backside exchange and separate ensures 1 player can not play 2. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The player at X will entice his defender to help and a fade to hang up his defender on the pass. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

If they won’t slide off of the mirror player -  the dodgers will have tons of room. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Backside Motion will prep for the next 2 Man Game.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=L4sQEswGq1Yvo4CxZ0Vg\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=qtfLOS6Lu4P41Gs4g3T3\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=wBVd6KpuJJWsmLjygWiU\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=T0AKzk7fktOfkIVm8dyw\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=3RM2tj5WasWOKzrjkwcS\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=9HPQVApTmM7ydTp2SXqH\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=1e4PDYLKCgdfJkY0shB9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=eLSP3nNMUrhg51qWAZT5\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Gp1HGvWmPy8Aww2H1DKu\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=TdhiPE5MEY3n03aPt6wj\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=PEbwoeaLyfi4CiQF7pez\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=30cZCOtlF6oil6xzYwca\"" style=\""max-width: 100%\""></iframe>""]"
"2 Ball Reaction Drill","7","7","","2 Ball Reaction Drill","[]","","[]"
"2 Man Game - Ball Carrier Options","8","8","2 Man Ideas","2 Man - With Ball","[]","","[]"
"2 Man Game - Off Ball Options","9","9","","2 Man Game - Off Ball Options","[]","","[]"
"2 Men Down","10","10","Man Down","2 Men Down","[]","","[]"
