Vimeo Connection ID,Strategy Categories,Strategy Name,Lacrosse Lab Link,description,Paste Embed Code in This Column
,Offense - Set Plays,1-4-1 AT,https://lacrosse.labradorsports.com/play?l=BwbBhCuLB7OzonXmcVaY,A great set play with many reads and looks.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=BwbBhCuLB7OzonXmcVaY"" style=""max-width: 100%""></iframe>"
2,Zone Offense,1-4-1 Carry Step Off,,,
1,Zone Offense,1-4-1 Carry Step Off Offense,https://lacrosse.labradorsports.com/play?l=PP4bb1KQCS6MdOxWMe4B,This is a play in the 1-4–1 carry step off offense.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=PP4bb1KQCS6MdOxWMe4B"" style=""max-width: 100%""></iframe>"
1,Zone Offense,1-4-1 Carry Step Off Offense,https://lacrosse.labradorsports.com/play?l=xqSSSwg1DgTj2cpWMHZT,This is a play in the 1-4–1 carry step off offense.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=xqSSSwg1DgTj2cpWMHZT"" style=""max-width: 100%""></iframe>"
1,Zone Offense,1-4-1 Carry Step Off Offense,https://lacrosse.labradorsports.com/play?l=ZmNqaxMdAQigCRie6iKi,This is a play in the 1-4–1 carry step off offense.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=ZmNqaxMdAQigCRie6iKi"" style=""max-width: 100%""></iframe>"
1,Zone Offense,1-4-1 Carry Step Off Offense,https://lacrosse.labradorsports.com/play?l=tw5XOBxoKHM0MA3bQ1Fp,This is a play in the 1-4–1 carry step off offense.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=tw5XOBxoKHM0MA3bQ1Fp"" style=""max-width: 100%""></iframe>"
160,Offense - Set Plays,1-4-1 Double Mumbo,https://lacrosse.labradorsports.com/play?l=P2v6sjaCGcODVFbDWZBa,This play is designed to give your best shooters a step-down shot from 8-10 yards,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=P2v6sjaCGcODVFbDWZBa"" style=""max-width: 100%""></iframe>"
3,Offense - Set Plays,1-4-1 Double Mumbo to Weave,https://lacrosse.labradorsports.com/play?l=XemubuaV5Lq6ZRQHtrUU,This play is designed to give your best shooters a step-down shot from 8-10 yards,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=XemubuaV5Lq6ZRQHtrUU"" style=""max-width: 100%""></iframe>"
4,Offense,1-4-1 Shifted Triangles Offense,https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg"" style=""max-width: 100%""></iframe>"
4,Offense,1-4-1 Shifted Triangles Offense,https://lacrosse.labradorsports.com/play?l=rNf2I3YNj56OcfwCSEDi,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=rNf2I3YNj56OcfwCSEDi"" style=""max-width: 100%""></iframe>"
4,Offense,1-4-1 Shifted Triangles Offense,https://lacrosse.labradorsports.com/play?l=abSVUhjsb6NSV8XI1ipG,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=abSVUhjsb6NSV8XI1ipG"" style=""max-width: 100%""></iframe>"
4,Offense,1-4-1 Shifted Triangles Offense,https://lacrosse.labradorsports.com/play?l=NeaEqBJkXDx358GjlqyF,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=NeaEqBJkXDx358GjlqyF"" style=""max-width: 100%""></iframe>"
4,Offense,1-4-1 Shifted Triangles Offense,https://lacrosse.labradorsports.com/play?l=XHHNMqlDKKr5VH76QuZK,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=XHHNMqlDKKr5VH76QuZK"" style=""max-width: 100%""></iframe>"
