ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,Type,_bpdgtc_associated_group_id,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
39039,"Skyline Playbook","<img class=""alignnone size-medium wp-image-35993"" src=""https://powlax.com/wp-content/uploads/2024/10/Skyline-Lacrosse-Banner-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38853""]",,"2025-04-26 20:30:46",bpdgtc_content,https://powlax.com/bpdgtc_content/playbook/,,,,,,,,"Playbook Type",10,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,playbook,,,0,0,0,closed,closed,"2025-04-26 22:38:48"
39041,"Skyline Playbook JV","<img class=""alignnone size-medium wp-image-35993"" src=""https://powlax.com/wp-content/uploads/2024/10/Skyline-Lacrosse-Banner-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38853""]",,"2025-04-26 20:44:03",bpdgtc_content,https://powlax.com/bpdgtc_content/skyline-playbook-jv/,,,,,,,,"Playbook Type",12,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,skyline-playbook-jv,,,0,0,0,closed,closed,"2025-04-26 21:17:35"
39043,"Skyline Lacrosse Playbook Varsity","<img class=""alignnone size-medium wp-image-35993"" src=""https://powlax.com/wp-content/uploads/2024/10/Skyline-Lacrosse-Banner-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38853""]",,"2025-04-26 21:09:36",bpdgtc_content,https://powlax.com/bpdgtc_content/skyline-lacrosse-playbook-varsity/,,,,,,,,"Playbook Type",11,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,skyline-lacrosse-playbook-varsity,,,0,0,0,closed,closed,"2025-04-26 21:13:01"
39044,"Forge Lacrosse Club Playbook","<img class=""alignnone size-medium wp-image-35914"" src=""https://powlax.com/wp-content/uploads/2024/10/Forge-Lacrosse-Banner-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""39021""]",,"2025-04-26 21:19:37",bpdgtc_content,https://powlax.com/bpdgtc_content/forge-lacrosse-club-playbook/,,,,,,,,"Playbook Type",15,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,forge-lacrosse-club-playbook,,,0,0,0,closed,closed,"2025-04-26 21:19:37"
39046,"Red Hawks Lacrosse Playbook","<img class=""alignnone size-medium wp-image-36768"" src=""https://powlax.com/wp-content/uploads/2025/03/RED-HAWKS-LACROSSE-Banner-for-Online-Skills-Academy-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38365""]",,"2025-04-26 21:22:05",bpdgtc_content,https://powlax.com/bpdgtc_content/red-hawks-lacrosse-playbook/,,,,,,,,"Playbook Type",3,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,red-hawks-lacrosse-playbook,,,0,0,0,closed,closed,"2025-04-26 21:22:05"
39047,"Red Hawks 14U Black","<img class=""alignnone size-medium wp-image-36768"" src=""https://powlax.com/wp-content/uploads/2025/03/RED-HAWKS-LACROSSE-Banner-for-Online-Skills-Academy-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38365""]",,"2025-04-26 21:23:08",bpdgtc_content,https://powlax.com/bpdgtc_content/red-hawks-14u-black/,,,,,,,,"Playbook Type",14,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,red-hawks-14u-black,,,0,0,0,closed,closed,"2025-04-26 21:23:08"
39048,"Red Hawks 14U Red","<img class=""alignnone size-medium wp-image-36768"" src=""https://powlax.com/wp-content/uploads/2025/03/RED-HAWKS-LACROSSE-Banner-for-Online-Skills-Academy-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38365""]",,"2025-04-26 21:23:26",bpdgtc_content,https://powlax.com/bpdgtc_content/red-hawks-14u-red/,,,,,,,,"Playbook Type",6,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,red-hawks-14u-red,,,0,0,0,closed,closed,"2025-04-26 21:23:26"
39049,"Red Hawks 12U Playbook","<img class=""alignnone size-medium wp-image-36768"" src=""https://powlax.com/wp-content/uploads/2025/03/RED-HAWKS-LACROSSE-Banner-for-Online-Skills-Academy-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38365""]",,"2025-04-26 21:23:52",bpdgtc_content,https://powlax.com/bpdgtc_content/red-hawks-12u-playbook/,,,,,,,,"Playbook Type",2,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,red-hawks-12u-playbook,,,0,0,0,closed,closed,"2025-04-26 21:23:52"
39050,"Red Hawks 10U Playbook","<img class=""alignnone size-medium wp-image-36768"" src=""https://powlax.com/wp-content/uploads/2025/03/RED-HAWKS-LACROSSE-Banner-for-Online-Skills-Academy-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38365""]",,"2025-04-26 21:26:25",bpdgtc_content,https://powlax.com/bpdgtc_content/red-hawks-10u-playbook/,,,,,,,,"Playbook Type",5,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,red-hawks-10u-playbook,,,0,0,0,closed,closed,"2025-04-26 21:26:39"
39051,"Red Hawks 8U Playbook","<img class=""alignnone size-medium wp-image-36768"" src=""https://powlax.com/wp-content/uploads/2025/03/RED-HAWKS-LACROSSE-Banner-for-Online-Skills-Academy-300x31.png"" alt="""" width=""300"" height=""31"" />

[course_content course_id=""38365""]",,"2025-04-26 21:27:02",bpdgtc_content,https://powlax.com/bpdgtc_content/red-hawks-8u-playbook/,,,,,,,,"Playbook Type",4,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,red-hawks-8u-playbook,,,0,0,0,closed,closed,"2025-04-26 21:27:08"
39052,"POWLAX Lacrosse Club Playbook","<img class=""alignnone size-medium wp-image-38907"" src=""https://powlax.com/wp-content/uploads/2025/04/POWLAX-Club-Team-Playbook-300x169.png"" alt="""" width=""300"" height=""169"" />

[course_content course_id=""38897""]",,"2025-04-26 21:28:13",bpdgtc_content,https://powlax.com/bpdgtc_content/powlax-lacrosse-club-playbook/,,,,,,,,"Playbook Type",8,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,powlax-lacrosse-club-playbook,,,0,0,0,closed,closed,"2025-04-26 21:30:39"
39053,"POWLAX Lacrosse Club Varsity","<img class=""alignnone size-medium wp-image-38907"" src=""https://powlax.com/wp-content/uploads/2025/04/POWLAX-Club-Team-Playbook-300x169.png"" alt="""" width=""300"" height=""169"" />

[course_content course_id=""38897""]",,"2025-04-26 21:29:42",bpdgtc_content,https://powlax.com/bpdgtc_content/powlax-lacrosse-club-varsity/,,,,,,,,"Playbook Type",9,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,powlax-lacrosse-club-varsity,,,0,0,0,closed,closed,"2025-04-26 21:29:42"
