folderPath,name,Id,description
Offense/How to Beat a Zone/1-4-1 Carry Step Off Offense/,1-4-1 Picks Inside,2,This is a play in the 1-4–1 carry step off offense.
Offense/How to Beat a Zone/1-4-1 Carry Step Off Offense/,1-4-1 Soft Spots,2,This is a play in the 1-4–1 carry step off offense.
Offense/How to Beat a Zone/1-4-1 Carry Step Off Offense/,Side - 1-4-1 Carry Step Off,2,This is a play in the 1-4–1 carry step off offense.
Offense/How to Beat a Zone/1-4-1 Carry Step Off Offense/,Top - 1-4-1 Carry Step Off,2,This is a play in the 1-4–1 carry step off offense.
Offense/21-12 Motion Offense/1-4-1 Shifted Triangles Offense/,1-4-1 Base,4,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places."
Offense/21-12 Motion Offense/1-4-1 Shifted Triangles Offense/,1-4-1 Shifted Triangles - Left Wing Dodge,4,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places."
Offense/21-12 Motion Offense/1-4-1 Shifted Triangles Offense/,1-4-1 Shifted Triangles - Right Wing Dodge,4,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places."
Offense/21-12 Motion Offense/1-4-1 Shifted Triangles Offense/,1-4-1 Shifted Triangles - Right Wing Dodge,4,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places."
Offense/21-12 Motion Offense/1-4-1 Shifted Triangles Offense/,1-4-1 Shifted Triangles - Right Wing Dodge,4,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places."
Offense/21-12 Motion Offense/1-4-1 Shifted Triangles Offense/,1-4-1 Shifted Triangles - Top Dodge,4,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places."
Offense/21-12 Motion Offense/1-4-1 Shifted Triangles Offense/,1-4-1 Shifted Triangles - X Dodge,4,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places."
Transition/Clearing/Skeleton Clears/,2-2-3 Clear (Skeleton),11,The 2-2-3 Clear is just like a 4-3 clear except the midfielders cross the midline to bring riding players over the midline which should create more space and not let attackman and midfielders set traps and double too easily.
Transition/Clearing/Skeleton Clears/,2-3-2 Clear (Skeleton),11,The 2-3-2 Clear puts 2 midfielders 10 yards over midfield -  three just goalside of the midline -  and two making up the base of the clear.  The 2-3 2 has become the favorite of many collegiate teams because of how it helps them in the substitution game as well.
Offense/Penn State Offense/3 High Pairs/2 Man/,PSO - 3H - Crease Mirror Motion,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center."
Offense/Penn State Offense/3 High Pairs/2 Man/,PSO - 3H - Crease Up Pick,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center."
Offense/Penn State Offense/3 High Pairs/Scoring Plays/,PSO - 3H - Dodge to Score,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

In the 3 High Offense -  dodgers must dodge to score."
Offense/Penn State Offense/3 High Pairs/Scoring Plays/,PSO - 3H - Draw and Swing to Backside,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

If you draw a slide -  step away and swing it to backside."
Offense/Penn State Offense/3 High Pairs/Off Ball/,PSO - 3H - Low Pair Clear Through and Fill,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center.

The low pair will begin stacked -  with one on the crease and the other at x -  or with both at x.

When both are at x -  they can hold to swing the ball -  clear through and Fill -  or fade and cut the middle.

When the low pair is stacked -  they can exchange -  the player at X can play hang up games -  and on some more set play pieces -  the crease player can move to the outside and overlap."
Offense/Penn State Offense/3 High Pairs/Off Ball/,PSO - 3H - Low Pair Crease Overlap,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center.

The low pair will begin stacked -  with one on the crease and the other at x -  or with both at x.

When both are at x -  they can hold to swing the ball -  clear through and Fill -  or fade and cut the middle.

When the low pair is stacked -  they can exchange -  the player at X can play hang up games -  and on some more set play pieces -  the crease player can move to the outside and overlap."
Offense/Penn State Offense/3 High Pairs/Off Ball/,PSO - 3H - Low Pair Fade and Cut The Middle,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center.

The low pair will begin stacked -  with one on the crease and the other at x -  or with both at x.

When both are at x -  they can hold to swing the ball -  clear through and Fill -  or fade and cut the middle.

When the low pair is stacked -  they can exchange -  the player at X can play hang up games -  and on some more set play pieces -  the crease player can move to the outside and overlap."
Offense/Penn State Offense/3 High Pairs/Off Ball/,PSO - 3H - Low Pair Hang Up Games,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center.

The low pair will begin stacked -  with one on the crease and the other at x -  or with both at x.

When both are at x -  they can hold to swing the ball -  clear through and Fill -  or fade and cut the middle.

When the low pair is stacked -  they can exchange -  the player at X can play hang up games -  and on some more set play pieces -  the crease player can move to the outside and overlap."
Offense/Penn State Offense/3 High Pairs/Off Ball/,PSO - 3H - Low Pair Stacked Exchange,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center.

The low pair will begin stacked -  with one on the crease and the other at x -  or with both at x.

When both are at x -  they can hold to swing the ball -  clear through and Fill -  or fade and cut the middle.

When the low pair is stacked -  they can exchange -  the player at X can play hang up games -  and on some more set play pieces -  the crease player can move to the outside and overlap."
Offense/Penn State Offense/3 High Pairs/Scoring Plays/,PSO - 3H - Overlap Fake Flip,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

Overlap Fake flip."
Offense/Penn State Offense/3 High Pairs/2 Man/,PSO - 3H - Top Pick Motion,15,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center."
Transition/Clearing/4-3 Alpha Clear/,4-3 Alpha Clear with 2 Subs (Box Side),19,
Transition/Clearing/4-3 Alpha Clear/,4-3 Alpha Clear with 2 Subs (Off Box),19,
Transition/Riding/10 Man Ride/,10 MR - 1st Level Turnovers,82,To create the time it takes to get into the 1 Man Ride -  we must get in the face Of the first ball carrier so they can’t get up and out Early.  Once the ball is passed adjacent -  we can press up to cause turnovers.
Transition/Riding/10 Man Ride/,10 MR - 2nd Level Doubles,82,We will create turnovers in the second level by doubling with our attackmen and midfielders.
Transition/Riding/10 Man Ride/,10 MR - 3rd Level Doubles,82,If a player carries over the midline while in a double we must stay on that double and not let them free their hands. Think of it in the same way we would be doubling at the end of the game to get the ball back.
Transition/Riding/10 Man Ride/,10 MR - Bumping Up The Pole,82,To get into the 10 Man Ride -  the goalie will bump up a succession of players to the field.
Transition/Riding/10 Man Ride/,10 MR - Switching the Field,82,If all of the clearing players are in front of the midline -  we have to get a midfielder back before the pole can go over. When this happens we will have to alternate which side of the field has a midfielder back in order to press up to the defenseman.
Offense/Penn State Offense/Picks Behind/2 Man/,PSO - PB - Picks Behind,107,"The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.

Picks Behind - These are the traditional picks behind -  used to generate advantages -  big little switches -  and to get hands free in dangerous space."
