schema_name,table_name,trigger_name,function_name,trigger_definition
auth,users,RI_ConstraintTrigger_a_16731,RI_FKey_cascade_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_16731"" AFTER DELETE ON auth.users FROM auth.identities NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
auth,users,RI_ConstraintTrigger_a_16732,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_16732"" AFTER UPDATE ON auth.users FROM auth.identities NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_16759,RI_FKey_cascade_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_16759"" AFTER DELETE ON auth.users FROM auth.sessions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
auth,users,RI_ConstraintTrigger_a_16760,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_16760"" AFTER UPDATE ON auth.users FROM auth.sessions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_16795,RI_FKey_cascade_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_16795"" AFTER DELETE ON auth.users FROM auth.mfa_factors NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
auth,users,RI_ConstraintTrigger_a_16796,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_16796"" AFTER UPDATE ON auth.users FROM auth.mfa_factors NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_16986,RI_FKey_cascade_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_16986"" AFTER DELETE ON auth.users FROM auth.one_time_tokens NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
auth,users,RI_ConstraintTrigger_a_16987,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_16987"" AFTER UPDATE ON auth.users FROM auth.one_time_tokens NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_22895,RI_FKey_noaction_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_22895"" AFTER DELETE ON auth.users FROM points_transactions_powlax NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
auth,users,RI_ConstraintTrigger_a_22896,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_22896"" AFTER UPDATE ON auth.users FROM points_transactions_powlax NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_22918,RI_FKey_noaction_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_22918"" AFTER DELETE ON auth.users FROM user_badge_progress_powlax NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
auth,users,RI_ConstraintTrigger_a_22919,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_22919"" AFTER UPDATE ON auth.users FROM user_badge_progress_powlax NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_22939,RI_FKey_noaction_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_22939"" AFTER DELETE ON auth.users FROM user_rank_progress_powlax NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
auth,users,RI_ConstraintTrigger_a_22940,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_22940"" AFTER UPDATE ON auth.users FROM user_rank_progress_powlax NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_29748,RI_FKey_noaction_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29748"" AFTER DELETE ON auth.users FROM practice_templates NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
auth,users,RI_ConstraintTrigger_a_29749,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29749"" AFTER UPDATE ON auth.users FROM practice_templates NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_29996,RI_FKey_noaction_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29996"" AFTER DELETE ON auth.users FROM users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
auth,users,RI_ConstraintTrigger_a_29997,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29997"" AFTER UPDATE ON auth.users FROM users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,RI_ConstraintTrigger_a_32474,RI_FKey_noaction_del,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_32474"" AFTER DELETE ON auth.users FROM magic_links NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
auth,users,RI_ConstraintTrigger_a_32475,RI_FKey_noaction_upd,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_32475"" AFTER UPDATE ON auth.users FROM magic_links NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
auth,users,sync_auth_users_trigger,sync_auth_users_to_users,CREATE TRIGGER sync_auth_users_trigger AFTER UPDATE ON auth.users FOR EACH ROW EXECUTE FUNCTION sync_auth_users_to_users()
