id,title,description,icon_url,rank_order,lax_credits_required,gender,metadata,created_at,updated_at
1,Lacrosse Bot,"Everyone starts out as a ""Lacrosse Bot"" lacks game awareness and skill, often making basic mistakes and following others without understanding why.",https://powlax.com/wp-content/uploads/2024/10/DALL·E-2024-10-03-12.27.11-A-cartoonish-3D-animated-lacrosse-player-with-a-robotic-appearance-showcasing-a-confused-expression.-The-character-is-depicted-mechanically-moving-th.webp,1,0,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
2,2nd Bar Syndrome,"Ever feel like you're just not seeing the big picture? That's our friend with the 2nd Bar Syndrome, constantly navigating the field as if he's peering through a mail slot.",https://powlax.com/wp-content/uploads/2024/10/DALL·E-2024-10-03-12.27.45-A-3D-animated-cartoonish-lacrosse-player-with-oversized-helmet-bars-that-obscure-his-vision-like-peering-through-a-mail-slot.-This-character-is-awkw.webp,2,25,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
3,Left Bench Hero,"He made the team, but that's just the start. Our Left Bench hero might not play much, but he's got the best seat in the house to learn.",https://powlax.com/wp-content/uploads/2024/10/DALL·E-2024-10-03-12.30.12-A-high-resolution-3D-animated-image-of-a-cheerful-lacrosse-player-sitting-on-the-sideline-fully-equipped-intensely-observing-the-game.-The-player-d.webp,3,60,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
4,Celly King,"The hype-man of the bench. He might not score the goals, but he leads the league in celebrations.",https://powlax.com/wp-content/uploads/2024/10/DALL·E-2024-10-03-12.30.10-Animated-scene-of-a-lacrosse-player-on-the-bench-leading-celebrations-with-dynamic-exaggerated-motions-like-dances-and-fist-pumps.-The-character-is-.webp,4,100,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
5,D-Mid Rising,"Emerging from the sidelines to the heart of the action, you're honing your transition skills and sharpening defensive instincts.",https://powlax.com/wp-content/uploads/2024/10/DALL·E-2024-10-05-22.10.09-A-cartoonish-3D-animated-image-of-a-lacrosse-defensive-midfielder-known-as-D-Mid-Rising-viewed-from-the-front.-The-top-of-the-helmet-slightly-cover.webp,5,140,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
6,Lacrosse Utility,"Versatile level. Like a Swiss Army knife, your ability to adapt and fill various roles makes you invaluable.",https://powlax.com/wp-content/uploads/2024/10/Lacrosse-Utility.png,6,200,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
7,Flow Bro,"Stylist level. Not only do you play with flair, but your iconic style sets you apart on and off the field.",https://powlax.com/wp-content/uploads/2024/10/Flow-Bro.png,7,300,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
8,Lax Beast,"The Lax Beast is a fearsome competitor on the lacrosse field, combining raw intensity with unmatched skill.",https://powlax.com/wp-content/uploads/2024/10/Lax-Beast.png,8,450,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
9,Lax Ninja,"The Lax Ninja moves with stealth and precision, blending agility, focus, and technique.",https://powlax.com/wp-content/uploads/2024/10/Lax-Ninja.png,9,600,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
10,Lax God,"The Lax God reigns supreme over the lacrosse universe, with unmatched power and prowess.",https://powlax.com/wp-content/uploads/2024/10/Lax-God-2.png,10,1000,neutral,,2025-08-11 01:05:59.894767+00,2025-08-11 01:05:59.894767+00
